window_prescription_id,chart_id,ayanamsha_id,build_id,base_prescription_id,dasha_system,dasha_level,dasha_lord,window_start_iso,window_end_iso,window_intensity_multiplier,schedule_jsonb,phase_within_window,verification_pass_status,citation_ref,citation_human,computed_at
056252e5-21be-412c-935b-5ccf06e668f4,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,bd012fb3-a638-49dd-89ce-3ebfdadc6909,vimshottari,maha,Venus,2026-08-21 02:31:40.29037+00,2034-08-18 15:50:23+00,8.500275,"{""dasha_runway"": {""note"": ""chart_vichara.leverage_index's own embedded runway sub-field for this graha/domain is NOT reused here — see _fetch_dasha_runway_fresh docstring for the live discrepancy found during B-4 authoring (2026-07-22)."", ""source"": ""chart_dashas (L1, fresh live re-derivation)"", ""dasha_row_id"": ""87823eb6-6d78-42bf-a765-f40f42faec04"", ""runway_weight"": 1.2336, ""currently_running"": false, ""md_duration_years"": 20.0, ""years_before_md_open"": 7.992}, ""leverage_index"": {""value"": 3.9375, ""domain"": ""wealth"", ""source"": ""chart_vichara (ga_vichara L1 leverage_index, referenced not recomputed, §N.5)"", ""vichara_row_id"": 157164, ""constituent_fact_ids"": [""5a80bdf4947d5e16"", ""6d91cccd12d138e7""]}, ""sadhana_history"": {""factor"": 1.75, ""source"": ""life_events (LEL calibration corpus, event_type='spiritual', strictly pre-embargo)"", ""embargo_date"": ""2020-01-01"", ""milestone_event_ids"": [""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035"", ""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035-corr-2001-initiation"", ""62f0460d-0cf1-5eab-bedc-47ecfcb04657"", ""132b61e0-3409-53fd-bb1a-80b4b6bdcc67"", ""56a1222d-8c88-5445-b2a2-1fd89d470719""], ""pre_embargo_milestone_count"": 5}, ""join_formula_version"": ""v1.0"", ""remedy_leverage_score"": 8.500275, ""weakest_load_bearing_graha"": ""Venus""}",pre_md_preparation_window,documented_approximation,bo_upaya/remedy_leverage_join/Venus/wealth,B-4 remedy-leverage join: Venus wealth leverage_index=3.9375 x sadhana_history_factor=1.7500 x dasha_runway_weight=1.2336 = 8.5003,2026-08-21 02:31:40.29037+00
edecbc12-21b0-40bf-821e-b6d9cffb25bb,482012f1-710e-4a25-994a-93821f5871aa,raman,5b1ec47a-84ca-4b08-9251-996c06835b86,40289df6-b9d1-4d77-b9ed-e0a3ea8c2b55,vimshottari,maha,Venus,2026-08-21 02:31:40.29037+00,2032-11-22 17:54:25+00,8.899015,"{""dasha_runway"": {""note"": ""chart_vichara.leverage_index's own embedded runway sub-field for this graha/domain is NOT reused here — see _fetch_dasha_runway_fresh docstring for the live discrepancy found during B-4 authoring (2026-07-22)."", ""source"": ""chart_dashas (L1, fresh live re-derivation)"", ""dasha_row_id"": ""b63eca0d-0ed0-4b44-b71b-689b7b9ffec2"", ""runway_weight"": 1.291467, ""currently_running"": false, ""md_duration_years"": 20.0, ""years_before_md_open"": 6.256}, ""leverage_index"": {""value"": 3.9375, ""domain"": ""wealth"", ""source"": ""chart_vichara (ga_vichara L1 leverage_index, referenced not recomputed, §N.5)"", ""vichara_row_id"": 162114, ""constituent_fact_ids"": [""5b820e17c9746442"", ""d310e78c90bb67e0""]}, ""sadhana_history"": {""factor"": 1.75, ""source"": ""life_events (LEL calibration corpus, event_type='spiritual', strictly pre-embargo)"", ""embargo_date"": ""2020-01-01"", ""milestone_event_ids"": [""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035"", ""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035-corr-2001-initiation"", ""62f0460d-0cf1-5eab-bedc-47ecfcb04657"", ""132b61e0-3409-53fd-bb1a-80b4b6bdcc67"", ""56a1222d-8c88-5445-b2a2-1fd89d470719""], ""pre_embargo_milestone_count"": 5}, ""join_formula_version"": ""v1.0"", ""remedy_leverage_score"": 8.899015, ""weakest_load_bearing_graha"": ""Venus""}",pre_md_preparation_window,documented_approximation,bo_upaya/remedy_leverage_join/Venus/wealth,B-4 remedy-leverage join: Venus wealth leverage_index=3.9375 x sadhana_history_factor=1.7500 x dasha_runway_weight=1.2915 = 8.8990,2026-08-21 02:31:40.29037+00
fd12929e-0cc8-4ee0-98dd-b8e590b95d3b,482012f1-710e-4a25-994a-93821f5871aa,krishnamurti,5b1ec47a-84ca-4b08-9251-996c06835b86,89d74d9f-da43-49d0-bf71-f079d672cd01,vimshottari,maha,Venus,2026-08-21 02:31:40.29037+00,2034-07-07 05:01:51+00,8.526687,"{""dasha_runway"": {""note"": ""chart_vichara.leverage_index's own embedded runway sub-field for this graha/domain is NOT reused here — see _fetch_dasha_runway_fresh docstring for the live discrepancy found during B-4 authoring (2026-07-22)."", ""source"": ""chart_dashas (L1, fresh live re-derivation)"", ""dasha_row_id"": ""98d99833-727d-438d-8bee-b52576b04d15"", ""runway_weight"": 1.237433, ""currently_running"": false, ""md_duration_years"": 20.0, ""years_before_md_open"": 7.877}, ""leverage_index"": {""value"": 3.9375, ""domain"": ""wealth"", ""source"": ""chart_vichara (ga_vichara L1 leverage_index, referenced not recomputed, §N.5)"", ""vichara_row_id"": 160466, ""constituent_fact_ids"": [""180767d95171f391"", ""24270d8a8418fe9b""]}, ""sadhana_history"": {""factor"": 1.75, ""source"": ""life_events (LEL calibration corpus, event_type='spiritual', strictly pre-embargo)"", ""embargo_date"": ""2020-01-01"", ""milestone_event_ids"": [""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035"", ""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035-corr-2001-initiation"", ""62f0460d-0cf1-5eab-bedc-47ecfcb04657"", ""132b61e0-3409-53fd-bb1a-80b4b6bdcc67"", ""56a1222d-8c88-5445-b2a2-1fd89d470719""], ""pre_embargo_milestone_count"": 5}, ""join_formula_version"": ""v1.0"", ""remedy_leverage_score"": 8.526687, ""weakest_load_bearing_graha"": ""Venus""}",pre_md_preparation_window,documented_approximation,bo_upaya/remedy_leverage_join/Venus/wealth,B-4 remedy-leverage join: Venus wealth leverage_index=3.9375 x sadhana_history_factor=1.7500 x dasha_runway_weight=1.2374 = 8.5267,2026-08-21 02:31:40.29037+00
c4e4943a-b585-4d25-b8c0-7ff72f886034,482012f1-710e-4a25-994a-93821f5871aa,surya_siddhanta_classical,5b1ec47a-84ca-4b08-9251-996c06835b86,79118325-55c5-4c5c-ab97-1970f4c07e3f,vimshottari,maha,Venus,2026-08-21 02:31:40.29037+00,2031-01-28 09:37:28+00,9.316587,"{""dasha_runway"": {""note"": ""chart_vichara.leverage_index's own embedded runway sub-field for this graha/domain is NOT reused here — see _fetch_dasha_runway_fresh docstring for the live discrepancy found during B-4 authoring (2026-07-22)."", ""source"": ""chart_dashas (L1, fresh live re-derivation)"", ""dasha_row_id"": ""5928f1b9-e1ca-4fbf-a3ed-cd33227e3ffe"", ""runway_weight"": 1.352067, ""currently_running"": false, ""md_duration_years"": 20.0, ""years_before_md_open"": 4.438}, ""leverage_index"": {""value"": 3.9375, ""domain"": ""wealth"", ""source"": ""chart_vichara (ga_vichara L1 leverage_index, referenced not recomputed, §N.5)"", ""vichara_row_id"": 163762, ""constituent_fact_ids"": [""1c11ef3f50378398"", ""c76e9fb2a6f0367b""]}, ""sadhana_history"": {""factor"": 1.75, ""source"": ""life_events (LEL calibration corpus, event_type='spiritual', strictly pre-embargo)"", ""embargo_date"": ""2020-01-01"", ""milestone_event_ids"": [""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035"", ""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035-corr-2001-initiation"", ""62f0460d-0cf1-5eab-bedc-47ecfcb04657"", ""132b61e0-3409-53fd-bb1a-80b4b6bdcc67"", ""56a1222d-8c88-5445-b2a2-1fd89d470719""], ""pre_embargo_milestone_count"": 5}, ""join_formula_version"": ""v1.0"", ""remedy_leverage_score"": 9.316587, ""weakest_load_bearing_graha"": ""Venus""}",pre_md_preparation_window,documented_approximation,bo_upaya/remedy_leverage_join/Venus/wealth,B-4 remedy-leverage join: Venus wealth leverage_index=3.9375 x sadhana_history_factor=1.7500 x dasha_runway_weight=1.3521 = 9.3166,2026-08-21 02:31:40.29037+00
6693bea6-e18c-4f25-843b-608f09bc2322,482012f1-710e-4a25-994a-93821f5871aa,true_chitra,5b1ec47a-84ca-4b08-9251-996c06835b86,171db7bf-ae2f-4e8c-9bff-415e7809d8ac,vimshottari,maha,Venus,2026-08-21 02:31:40.29037+00,2034-08-11 20:21:42+00,8.504637,"{""dasha_runway"": {""note"": ""chart_vichara.leverage_index's own embedded runway sub-field for this graha/domain is NOT reused here — see _fetch_dasha_runway_fresh docstring for the live discrepancy found during B-4 authoring (2026-07-22)."", ""source"": ""chart_dashas (L1, fresh live re-derivation)"", ""dasha_row_id"": ""1428b4f5-1e32-4fb8-953d-b4db102259a0"", ""runway_weight"": 1.234233, ""currently_running"": false, ""md_duration_years"": 20.0, ""years_before_md_open"": 7.973}, ""leverage_index"": {""value"": 3.9375, ""domain"": ""wealth"", ""source"": ""chart_vichara (ga_vichara L1 leverage_index, referenced not recomputed, §N.5)"", ""vichara_row_id"": 158815, ""constituent_fact_ids"": [""01374c768b3d4d7c"", ""ce5ccdc43fe0fc90""]}, ""sadhana_history"": {""factor"": 1.75, ""source"": ""life_events (LEL calibration corpus, event_type='spiritual', strictly pre-embargo)"", ""embargo_date"": ""2020-01-01"", ""milestone_event_ids"": [""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035"", ""d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035-corr-2001-initiation"", ""62f0460d-0cf1-5eab-bedc-47ecfcb04657"", ""132b61e0-3409-53fd-bb1a-80b4b6bdcc67"", ""56a1222d-8c88-5445-b2a2-1fd89d470719""], ""pre_embargo_milestone_count"": 5}, ""join_formula_version"": ""v1.0"", ""remedy_leverage_score"": 8.504637, ""weakest_load_bearing_graha"": ""Venus""}",pre_md_preparation_window,documented_approximation,bo_upaya/remedy_leverage_join/Venus/wealth,B-4 remedy-leverage join: Venus wealth leverage_index=3.9375 x sadhana_history_factor=1.7500 x dasha_runway_weight=1.2342 = 8.5046,2026-08-21 02:31:40.29037+00
