snapshot_id,snapshot_at,chart_id,proposing_executor,acharya_pratinidhi_key,two_key_complete,cells_jsonb,delta_from_prior_jsonb,publication_status,formula_version
snap_482012f1_1786129254,2026-08-07 19:00:53.334746+00,482012f1-710e-4a25-994a-93821f5871aa,mi_gunanaka,,f,"{""families"": [{""n"": 80, ""applied"": 1.0852, ""family_id"": ""fam_graha_natal"", ""posterior"": 0.5426, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.15, ""family_id"": ""fam_dasha_period"", ""posterior"": 0.575, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_yoga"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_divisional"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_transit"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.2, ""family_id"": ""fam_convergence"", ""posterior"": 0.6, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_ashtakavarga"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_msr_signal"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_anchor"", ""posterior"": 0.475, ""kill_switch"": ""active""}], ""n_families"": 9}",,proposed,mi_gunanaka_v2.0
snap_482012f1_1786136411,2026-08-07 21:00:10.417226+00,482012f1-710e-4a25-994a-93821f5871aa,mi_gunanaka,,f,"{""families"": [{""n"": 80, ""applied"": 1.0852, ""family_id"": ""fam_graha_natal"", ""posterior"": 0.5426, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.15, ""family_id"": ""fam_dasha_period"", ""posterior"": 0.575, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_yoga"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_divisional"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_transit"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.2, ""family_id"": ""fam_convergence"", ""posterior"": 0.6, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_ashtakavarga"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_msr_signal"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_anchor"", ""posterior"": 0.475, ""kill_switch"": ""active""}], ""n_families"": 9}",,proposed,mi_gunanaka_v2.0
snap_482012f1_1786146516,2026-08-07 23:48:35.846995+00,482012f1-710e-4a25-994a-93821f5871aa,mi_gunanaka,,f,"{""families"": [{""n"": 250, ""applied"": 0.9956, ""family_id"": ""fam_graha_natal"", ""posterior"": 0.4978, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.15, ""family_id"": ""fam_dasha_period"", ""posterior"": 0.575, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_yoga"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_divisional"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_transit"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.2, ""family_id"": ""fam_convergence"", ""posterior"": 0.6, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_ashtakavarga"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_msr_signal"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_anchor"", ""posterior"": 0.475, ""kill_switch"": ""active""}], ""n_families"": 9}",,proposed,mi_gunanaka_v2.0
snap_482012f1_1786583790,2026-08-13 01:16:30.579021+00,482012f1-710e-4a25-994a-93821f5871aa,mi_gunanaka,,f,"{""families"": [{""n"": 271, ""applied"": 0.9924, ""family_id"": ""fam_graha_natal"", ""posterior"": 0.4962, ""kill_switch"": ""active""}, {""n"": 14, ""applied"": 0.9643, ""family_id"": ""fam_transit"", ""posterior"": 0.4822, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.15, ""family_id"": ""fam_dasha_period"", ""posterior"": 0.575, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_yoga"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_divisional"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.2, ""family_id"": ""fam_convergence"", ""posterior"": 0.6, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_ashtakavarga"", ""posterior"": 0.475, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 1.4, ""family_id"": ""fam_msr_signal"", ""posterior"": 0.7, ""kill_switch"": ""active""}, {""n"": 0, ""applied"": 0.95, ""family_id"": ""fam_anchor"", ""posterior"": 0.475, ""kill_switch"": ""active""}], ""n_families"": 9}",,proposed,mi_gunanaka_v2.0
