chart_id,weight_id,mechanism,target_kind,target_ref,domain,raw_multiplier,evidence_factor,applied_multiplier,n_observations,held_out_validity,promotion_status,gate_passed,confidence_high,neg_control_clear,kill_switch_state,divergence_from_classical,audit_trail,weight_formula_version,updated_at
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_graha_natal,LL1,family,fam_graha_natal,,0.9924,0.4962,0.9924,271,pass,promoted,t,t,t,active,0.0978,"{""formula"": ""hierarchical_shrinkage_v2"", ""posterior"": 0.4962, ""shrinkage_k"": 5.0, ""scores_count"": 271, ""fam_likelihood"": 0.4962, ""cell_likelihood"": 0.4962, ""global_likelihood"": 0.4953}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_transit,LL1,family,fam_transit,,0.9643,0.4822,0.9643,14,pass,promoted,t,t,t,active,0.0151,"{""formula"": ""hierarchical_shrinkage_v2"", ""posterior"": 0.4822, ""shrinkage_k"": 5.0, ""scores_count"": 14, ""fam_likelihood"": 0.4775, ""cell_likelihood"": 0.4775, ""global_likelihood"": 0.4953}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_dasha_period,LL1,family,fam_dasha_period,,1.15,0.575,1.15,0,insufficient_n,prior_only,f,f,t,active,0,"{""prior"": 1.15, ""formula"": ""hierarchical_shrinkage_v2_prior_only"", ""scores_count"": 0}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_yoga,LL1,family,fam_yoga,,1.4,0.7,1.4,0,insufficient_n,prior_only,f,f,t,active,0,"{""prior"": 1.4, ""formula"": ""hierarchical_shrinkage_v2_prior_only"", ""scores_count"": 0}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_divisional,LL1,family,fam_divisional,,0.95,0.475,0.95,0,insufficient_n,prior_only,f,f,t,active,0,"{""prior"": 0.95, ""formula"": ""hierarchical_shrinkage_v2_prior_only"", ""scores_count"": 0}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_convergence,LL1,family,fam_convergence,,1.2,0.6,1.2,0,insufficient_n,prior_only,f,f,t,active,0,"{""prior"": 1.2, ""formula"": ""hierarchical_shrinkage_v2_prior_only"", ""scores_count"": 0}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_ashtakavarga,LL1,family,fam_ashtakavarga,,0.95,0.475,0.95,0,insufficient_n,prior_only,f,f,t,active,0,"{""prior"": 0.95, ""formula"": ""hierarchical_shrinkage_v2_prior_only"", ""scores_count"": 0}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_msr_signal,LL1,family,fam_msr_signal,,1.4,0.7,1.4,0,insufficient_n,prior_only,f,f,t,active,0,"{""prior"": 1.4, ""formula"": ""hierarchical_shrinkage_v2_prior_only"", ""scores_count"": 0}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
482012f1-710e-4a25-994a-93821f5871aa,LL1:fam_anchor,LL1,family,fam_anchor,,0.95,0.475,0.95,0,insufficient_n,prior_only,f,f,t,active,0,"{""prior"": 0.95, ""formula"": ""hierarchical_shrinkage_v2_prior_only"", ""scores_count"": 0}",mi_gunanaka_v2.0,2026-08-13 01:16:30.579021+00
