const_name,name,uri,layer,file
queryPlanetPositionCapability,query_planet_position,marsys://tool/L0/query_planet_position,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_planet_position.ts
resolveEntityCapability,resolve_entity,marsys://tool/L0/resolve_entity,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/resolve_entity.ts
queryDoshaCatalogCapability,query_dosha_catalog,marsys://tool/L0/query_dosha_catalog,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_dosha_catalog.ts
ephemerisCacheYearCapability,ephemeris_cache_year,marsys://resource/ephemeris-cache/year/{yyyy},L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/ephemeris_cache_year.ts
queryAspectsAtTimeCapability,query_aspects_at_time,marsys://tool/L0/query_aspects_at_time,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_aspects_at_time.ts
assetRegistryAllCapability,asset_registry_all,marsys://resource/asset-registry/all,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/asset_registry_all.ts
ephemerisCacheNativeLifetimeCapability,ephemeris_cache_native_lifetime,marsys://resource/ephemeris-cache/native-lifetime,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/ephemeris_cache_native_lifetime.ts
queryPlanetTransitCapability,query_planet_transit,marsys://tool/L0/query_planet_transit,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_planet_transit.ts
queryClassicalTextsCapability,query_classical_texts,marsys://tool/L0/query_classical_texts,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_classical_texts.ts
queryInsightsCapability,query_insights,marsys://tool/L5/query_insights,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_insights.ts
querySignalFamiliesCapability,query_signal_families,marsys://tool/L5/query_signal_families,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_signal_families.ts
queryManifestationGrammarCapability,query_manifestation_grammar,marsys://tool/L5/query_manifestation_grammar,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_manifestation_grammar.ts
queryPredictionsCapability,query_predictions,marsys://tool/L5/query_predictions,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_predictions.ts
queryCalibrationCapability,query_calibration,marsys://tool/L5/query_calibration,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_calibration.ts
queryLifeEventsCapability,lel_query,marsys://tool/L5/lel_query,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_life_events.ts
queryMuhuratCapability,query_muhurat,marsys://tool/L4/query_muhurat,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_muhurat.ts
queryAuspiciousWindowsCapability,query_auspicious_windows,marsys://tool/L4/query_auspicious_windows,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
querySpilloverCascadesCapability,query_spillover_cascades,marsys://tool/L4/query_spillover_cascades,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
queryFalsifiersCapability,query_falsifiers,marsys://tool/L4/query_falsifiers,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
queryAnomalyFlagsCapability,query_anomaly_flags,marsys://tool/L4/query_anomaly_flags,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
queryRemedyProgramCapability,query_remedy_program,marsys://tool/L4/query_remedy_program,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
queryCleasedAnchorsCapability,query_cleansed_anchors,marsys://tool/L4/query_cleansed_anchors,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
queryRectificationCapability,query_rectification,marsys://tool/L4/query_rectification,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
queryDomainResultCapability,query_domain_result,marsys://tool/L4/query_domain_result,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_domain_result.ts
queryPredictiveAnchorsCapability,query_predictive_anchors,marsys://tool/L4/query_predictive_anchors,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_predictive_anchors.ts
queryTemporalActivationCapability,query_temporal_activation,marsys://tool/L3/query_temporal_activation,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_temporal_activation.ts
queryTemporalViewCapability,query_temporal_view,marsys://tool/L3/query_temporal_view,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_temporal_view.ts
queryActivationWaveformCapability,query_activation_waveform,marsys://tool/L3/query_activation_waveform,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_activation_waveform.ts
callTransitSearchCapability,call_transit_search,marsys://tool/L3/call_transit_search,L3,platform/src/lib/retrieval/registry/layers/L3_kala/call_service_wrappers.ts
callEphemerisAtTCapability,call_ephemeris_at_t,marsys://tool/L3/call_ephemeris_at_t,L3,platform/src/lib/retrieval/registry/layers/L3_kala/call_service_wrappers.ts
callDashaEligibilityCapability,call_dasha_eligibility,marsys://tool/L3/call_dasha_eligibility,L3,platform/src/lib/retrieval/registry/layers/L3_kala/call_service_wrappers.ts
callMuhurtaScoreCapability,call_muhurta_score,marsys://tool/L3/call_muhurta_score,L3,platform/src/lib/retrieval/registry/layers/L3_kala/call_service_wrappers.ts
callPriorityRankingCapability,call_priority_ranking,marsys://tool/L3/call_priority_ranking,L3,platform/src/lib/retrieval/registry/layers/L3_kala/call_service_wrappers.ts
queryObstructionPeriodsCapability,query_obstruction_periods,marsys://tool/L3/query_obstruction_periods,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_obstruction_periods.ts
queryProjectionsCapability,query_projections,marsys://tool/L3/query_projections,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_projections.ts
queryDashaDossierCapability,query_dasha_dossier,marsys://tool/L3/query_dasha_dossier,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_dasha_dossier.ts
queryLifeArcCapability,query_life_arc,marsys://tool/L3/query_life_arc,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_life_arc.ts
queryConvergenceWindowsCapability,query_convergence_windows,marsys://tool/L3/query_convergence_windows,L3,platform/src/lib/retrieval/registry/layers/L3_kala/query_convergence_windows.ts
queryDomainReadingCapability,query_domain_reading,marsys://tool/L2/query_domain_reading,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_domain_reading.ts
queryRmPrescriptionsCapability,query_rm_prescriptions,marsys://tool/L2/query_rm_prescriptions,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_rm_prescriptions.ts
queryPratijnaCapability,query_pratijna,marsys://tool/L2/query_pratijna,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_pratijna.ts
queryContradictionsCapability,query_contradictions,marsys://tool/L2/query_contradictions,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_contradictions.ts
querySignalsCapability,query_signals,marsys://tool/L2/query_signals,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_signals.ts
queryCgmMotifsCapability,query_cgm_motifs,marsys://tool/L2/query_cgm_motifs,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_cgm_motifs.ts
grahaPortraitCapability,graha_portrait,marsys://tool/L2/graha_portrait,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/graha_portrait.ts
queryRmResonancesCapability,query_rm_resonances,marsys://tool/L2/query_rm_resonances,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_rm_resonances.ts
queryCgmPathsCapability,query_cgm_paths,marsys://tool/L2/query_cgm_paths,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_cgm_paths.ts
queryChartGestaltCapability,query_chart_gestalt,marsys://tool/L2/query_chart_gestalt,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_chart_gestalt.ts
queryQualityScorecardCapability,query_quality_scorecard,marsys://tool/L2/query_quality_scorecard,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_quality_scorecard.ts
queryCdlmSummaryCapability,query_cdlm_summary,marsys://tool/L2/query_cdlm_summary,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_cdlm_summary.ts
traverseChartGraphCapability,traverse_chart_graph,marsys://tool/L2/traverse_chart_graph,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/traverse_chart_graph.ts
queryDiscoveriesCapability,query_discoveries,marsys://tool/L2/query_discoveries,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_discoveries.ts
queryQuestionLensesCapability,query_question_lenses,marsys://tool/L2/query_question_lenses,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_question_lenses.ts
queryUcdCapability,query_ucd,marsys://tool/L2/query_ucd,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_ucd.ts
queryRemediesCapability,query_remedies,marsys://tool/L2/query_remedies,L2,platform/src/lib/retrieval/registry/layers/L2_bodha/query_remedies.ts
synthComposeLargeNCapability,compose_large_n,marsys://tool/synthesis/compose_large_n,L2,platform/src/lib/retrieval/synthesis/capability.ts
